Did Promotion Run?,In-Store Date End,In-Store Date Start,PPG,Plan Accounts,Promo type,Promotion Key,Promotion Name,Promotion Status,Promotion mechanism,Retailer,CustHierarchyNum,Manual Start Date,Manual End Date
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003012LIVE,"202416-202418 - 20240417 - 20240501 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1 - 3012, 24 BEN RTH 5X KP3w4-P4w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2024-04-24,2024-05-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003013LIVE,"202423-202425 - 20240605 - 20240618 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP5w3-4 $.50 off 1 - 3013, 24 BEN RTH - MEGA KP5w3-4 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2024-06-12,2024-06-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2024-11-06,2024-11-19
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003328LIVE,"202444-202446 - 20241030 - 20241112 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1, Requires Re-Approval - 3328, 24 BEN RTH - MEGA KP10w4-P11w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2024-11-06,2024-11-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003648LIVE,"202510-202513 - 2025-03-05 00:00:00 - 2025-03-25 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-Kp2w1-3 - 5x - Ben RR net $1.99 - 3648, 25-Kp2w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2025-03-05,2025-03-25
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003649LIVE,"202521-202524 - 2025-05-21 00:00:00 - 2025-06-10 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP5w1-3 - 5x - Ben RR net $1.99, 25-KP5w1-3 - 5x - Ben RR net $1.99 - 3649, 25-KP5w1-3 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2025-05-28,2025-06-17
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2025-07-30,2025-08-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2025-07-30,2025-08-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2025-07-30,2025-08-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2025-07-30,2025-08-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2025-07-30,2025-08-19
YES,2025-05-10,2025-05-03,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003650LIVE,"202530-202533 - 2025-07-23 00:00:00 - 2025-08-12 00:00:00 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 25-KP7w2-4 - 5x - Ben RR net $1.99 - 3650, 25-KP7w2-4 - 5x - Ben RR net $1.99",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2025-07-30,2025-08-19
